x0,y0,ODIL_loss
0.4,0.2,0.0001548098282709436
0.4,0.25,0.00015741014710064162
0.4,0.3,0.0001694410654607518
0.4,0.35,0.0001859210559166765
0.4,0.4,0.00020690980466233627
0.4,0.45,0.00022702495287560022
0.4,0.5,0.00025645657305247826
0.4,0.55,0.00032776245872226996
0.4,0.6,0.0003425723642264537
0.4,0.65,0.000334960581289193
0.4,0.7,0.00032631936749689787
0.4,0.75,0.0003509590574077593
0.4,0.8,0.0003307628732841149
0.4,0.85,0.0003068511952487964
0.4,0.9,0.0003014511189914058
0.4,0.95,0.00029861626146245203
0.45,0.05,0.00019767983109765722
0.45,0.1,0.00016133945284143902
0.45,0.15,0.00014593314966538368
0.45,0.2,0.0001375931853395609
0.45,0.25,0.0001358275998452451
0.45,0.3,0.00014745580193870528
0.45,0.35,0.0001680141250596905
0.45,0.4,0.0001824419156534409
0.45,0.45,0.0002184405971549198
0.45,0.5,0.00030613196778051275
0.45,0.55,0.0003497265070545707
0.45,0.6,0.0003418021964471645
0.45,0.65,0.0003178911478536917
0.45,0.7,0.00032839065009226243
0.45,0.75,0.0003321955977949936
0.45,0.8,0.000299940230503521
0.45,0.85,0.0003105931588746487
0.45,0.9,0.0003072432144970184
0.45,0.95,0.00029571999991524203
0.5,0.05,0.00018732089507814758
0.5,0.1,0.00015124703142892608
0.5,0.15,0.0001318360414610299
0.5,0.2,0.00011130927094687828
0.5,0.25,0.00010035856684336661
0.5,0.3,0.0001017939948701043
0.5,0.35,0.0001260987119934488
0.5,0.4,0.0001308348458895437
0.5,0.45,0.00019158086774521228
0.5,0.5,0.0002987279478099687
0.5,0.55,0.0003341156494757339
0.5,0.6,0.00033260785980690776
0.5,0.65,0.0003075519876086342
0.5,0.7,0.0003397603189986494
0.5,0.75,0.0003435418034706329
0.5,0.8,0.0003150161386506436
0.5,0.85,0.00031958538646725734
0.5,0.9,0.0003108049842769875
0.5,0.95,0.000290416944985719
0.55,0.05,0.0001709004080903987
0.55,0.1,0.0001318566630425245
0.55,0.15,0.00011578059590523898
0.55,0.2,9.365788318384149e-05
0.55,0.25,7.707231524802108e-05
0.55,0.3,7.08019430365423e-05
0.55,0.35,6.181401171964201e-05
0.55,0.4,0.00011023275245142132
0.55,0.45,0.00016292333470708858
0.55,0.5,0.0001912216700971301
0.55,0.55,0.0002757851889665607
0.55,0.6,0.0003122077866486942
0.55,0.65,0.0003078328154510489
0.55,0.7,0.0003477407717893103
0.55,0.75,0.0003485320820839945
0.55,0.8,0.0003361832606380886
0.55,0.85,0.0003620077740528697
0.55,0.9,0.0003716237497533767
0.55,0.95,0.00030474419476060074
0.6,0.05,0.000165251031468549
0.6,0.1,0.0001196750738367973
0.6,0.15,0.00010761677192606108
0.6,0.2,9.184384255008189e-05
0.6,0.25,7.315203800911591e-05
0.6,0.3,5.91169171129857e-05
0.6,0.35,4.8649395597187286e-05
