t,bead0x,bead0y,bead0z,bead1x,bead1y,bead1z,omega0,omega1,omega2,omega3,omega4,policy
36.4701,0.849654,0.63133,0.042311,0.169636,0.605673,0.0543019,-0,0,0,-0,-0.3,-1
36.6327,0.856047,0.602888,0.057325,0.177306,0.634075,0.0259627,-0,0,0,-0,-0.3,-1
36.9314,0.872877,0.558454,0.0149519,0.199189,0.667896,0.0562856,-0,0,0,-0,-0.3,-1
37.1301,0.876602,0.526835,0.016788,0.215711,0.69253,0.0613611,-0,0,0,-0,-0.3,-1
37.4274,0.876275,0.479864,0.0246899,0.241647,0.732356,0.0386801,-0,0,0,-0,-0.3,-1
37.6263,0.869459,0.443488,0.0342203,0.263548,0.755492,0.0392328,-0,0,0,-0,-0.3,-1
37.9209,0.861771,0.391428,0.0318961,0.303732,0.786339,0.0358509,-0,0,0,-0,-0.3,-1
38.1174,0.851348,0.361534,0.0351447,0.330418,0.806222,0.0228653,-0,0,0,-0,-0.3,-1
38.4509,0.832643,0.318237,0.0370513,0.37787,0.825367,0.028161,-0,0,0,-0,-0.3,-1
38.6474,0.817945,0.287552,0.0231369,0.409006,0.837758,0.0303309,-0,0,0,-0,-0.3,-1
38.978,0.78724,0.243811,0.0102984,0.452527,0.846714,0.0185143,-0,0,0,-0,-0.3,-1
