t,bead0x,bead0y,bead0z,bead1x,bead1y,bead1z,omega0,omega1,omega2,omega3,omega4,policy,input0,input1
29.661,0.396991,0.700598,0.640822,0.322631,0.452361,0.416089,-0.965655,0.363119,-0.481711,-0.991408,0.999853,3,1,0
29.9586,0.409616,0.702259,0.632061,0.325722,0.430387,0.390679,-0.993008,0.646185,-0.895892,-0.989304,0.997613,3,1,0
30.3531,0.421966,0.705578,0.611134,0.32579,0.409266,0.398148,-0.996153,0.855624,-0.963034,-0.928814,0.988853,3,1,0
30.6527,0.432472,0.704488,0.613582,0.325871,0.39368,0.396846,-0.996708,0.940154,-0.992819,-0.627015,0.933661,3,1,0
30.878,0.438821,0.703019,0.615028,0.327647,0.382838,0.407742,-0.995785,0.95529,-0.994046,-0.343485,0.850785,3,1,0
31.1455,0.440311,0.706754,0.603545,0.325671,0.372016,0.413488,-0.995271,0.972742,-0.996104,-0.147531,0.724567,3,1,0
31.4105,0.443597,0.702666,0.597908,0.330461,0.360011,0.417366,-0.993224,0.973758,-0.997006,-0.0671352,0.0882673,3,1,0
31.708,0.444789,0.701803,0.598016,0.325628,0.348675,0.416048,-0.992732,0.976205,-0.99795,0.00673399,-0.376365,3,1,0
32.0041,0.442293,0.700903,0.585227,0.326624,0.341891,0.43436,-0.98033,0.982297,-0.996933,0.304516,-0.658288,3,1,0
32.3379,0.443513,0.698785,0.578815,0.318836,0.337115,0.431142,-0.986196,0.985465,-0.997833,0.336147,-0.551123,3,1,0
32.6309,0.442978,0.698881,0.559774,0.315552,0.335739,0.431928,-0.985743,0.989747,-0.998153,0.448894,-0.401736,3,1,0
32.8918,0.444867,0.698484,0.54729,0.309225,0.335093,0.448967,-0.972024,0.99031,-0.997203,0.733902,0.448201,3,1,0
33.1927,0.44417,0.703018,0.527525,0.305667,0.332365,0.467122,-0.943771,0.991318,-0.993197,0.671328,0.937981,3,1,0
33.4198,0.445263,0.701968,0.527887,0.309173,0.328764,0.476322,-0.940641,0.984887,-0.993541,0.763669,0.921341,3,1,0
33.65,0.443639,0.703176,0.507376,0.313758,0.324296,0.485195,-0.911391,0.964616,-0.973948,0.497835,0.987193,3,1,0
34.0523,0.437534,0.704031,0.485253,0.316379,0.319782,0.509065,-0.808538,0.989364,-0.878278,0.0773631,0.995861,3,1,0
34.3436,0.432142,0.698846,0.476682,0.320579,0.317812,0.530339,-0.807169,0.987355,-0.650411,-0.513085,0.998923,3,1,0
34.5792,0.429574,0.699363,0.46928,0.326022,0.317184,0.529552,-0.791932,0.988153,-0.714782,-0.653696,0.998669,3,1,0
34.8413,0.419591,0.693683,0.45966,0.330947,0.316176,0.535905,-0.766671,0.994625,-0.859798,-0.796006,0.998218,3,1,0
35.1758,0.407997,0.693534,0.449709,0.337082,0.314168,0.542646,-0.64853,0.997524,-0.784805,-0.937458,0.998613,3,1,0
35.4353,0.395385,0.685992,0.461686,0.340841,0.31404,0.548958,-0.572902,0.993619,-0.30712,-0.915478,0.996879,3,1,0
35.6672,0.386084,0.688707,0.438345,0.344572,0.313914,0.555224,-0.259,0.996653,-0.345588,-0.995465,0.999288,3,1,0
35.9367,0.376004,0.684188,0.436742,0.352881,0.314703,0.552899,-0.045808,0.99033,-0.100395,-0.995211,0.998824,3,1,0
36.196,0.365259,0.682816,0.427508,0.357048,0.315102,0.551764,0.384418,0.981185,-0.0710209,-0.996661,0.997396,3,1,0
36.4895,0.354269,0.680774,0.433192,0.368,0.31385,0.521399,0.573972,0.17315,0.040169,-0.895357,0.933145,3,1,0
36.7896,0.345908,0.676928,0.438891,0.375197,0.312887,0.513079,0.588154,-0.653736,0.0320165,-0.567732,0.322258,3,1,0
37.087,0.337946,0.674236,0.452628,0.377571,0.310987,0.513444,0.478328,-0.892677,0.332394,-0.543136,-0.687015,3,1,0
37.3828,0.33172,0.673255,0.444636,0.382924,0.307684,0.506512,0.673015,-0.942947,-0.162491,-0.447574,-0.876456,3,1,0
37.6805,0.333007,0.671779,0.459078,0.382273,0.309193,0.498332,0.4335,-0.831943,-0.147816,-0.455814,-0.9162,3,1,0
37.9781,0.335079,0.674275,0.459206,0.381754,0.310613,0.490667,0.424408,-0.885993,-0.262493,-0.503305,-0.887627,3,1,0
38.2054,0.340056,0.676386,0.466518,0.374312,0.313663,0.483031,0.203395,-0.721694,-0.197615,-0.45088,-0.914274,3,1,0
38.4719,0.342124,0.678866,0.466689,0.37132,0.317057,0.474858,0.0690118,-0.607716,-0.189033,-0.560293,-0.89712,3,1,0
38.7337,0.344194,0.681343,0.466879,0.366895,0.318659,0.460101,-0.0701811,-0.466627,-0.407707,-0.721368,-0.881699,3,1,0
39.0377,0.347976,0.684944,0.460057,0.359405,0.321694,0.452896,-0.229042,-0.519738,-0.802179,-0.809665,-0.545621,3,1,0
39.3302,0.349592,0.685404,0.467306,0.354476,0.325635,0.452078,-0.346218,0.209972,-0.686294,-0.804561,-0.42775,3,1,0
39.6271,0.349132,0.6834,0.47427,0.347594,0.327173,0.452706,-0.387972,0.944636,-0.720584,-0.74769,-0.1775,3,1,0
39.9253,0.347157,0.687423,0.466777,0.341612,0.327075,0.462115,-0.257249,0.941814,-0.73081,-0.715516,0.0521649,3,1,0
40.2206,0.34923,0.689891,0.467022,0.34048,0.328007,0.462426,-0.260323,0.940248,-0.714057,-0.724837,0.183247,3,1,0
40.4501,0.342281,0.691463,0.465713,0.337062,0.326762,0.462348,-0.251776,0.960108,-0.783297,-0.742757,0.215826,3,1,0
40.7187,0.34472,0.689443,0.466246,0.335919,0.327681,0.46253,-0.232181,0.979198,-0.831309,-0.729119,0.24834,3,1,0
40.9804,0.335694,0.68854,0.464745,0.338372,0.325721,0.462948,-0.202412,0.947681,-0.83972,-0.774977,-0.0646243,3,1,0
41.2777,0.332858,0.68853,0.471221,0.339688,0.324688,0.463612,-0.217141,0.930816,-0.765223,-0.759893,-0.21587,3,1,0
41.5738,0.327849,0.686487,0.46384,0.338145,0.32503,0.471942,0.0703757,0.662839,-0.83283,-0.815094,-0.383779,3,1,0
41.87,0.326735,0.686932,0.47747,0.337768,0.322307,0.46513,-0.187822,0.924408,-0.783282,-0.803278,-0.439319,3,1,0
42.1697,0.322959,0.690533,0.462752,0.33248,0.32563,0.472333,0.0850929,0.59268,-0.904301,-0.897565,-0.0898255,3,1,0
