t,bead0x,bead0y,bead0z,bead1x,bead1y,bead1z,omega0,omega1,omega2,omega3,omega4,policy,input0,input1,rot
29.3012,0.658915,0.33849,0.451743,0.323184,0.314515,0.4714,-0.98066,-0.968726,0.0264466,-0.324936,-0.404288,3,0,1,1
29.5984,0.659224,0.333995,0.452191,0.324152,0.31295,0.480042,-0.986659,-0.952881,0.22922,-0.646244,-0.0381394,3,0,1,1
29.8957,0.658644,0.33243,0.459875,0.322277,0.310617,0.48169,-0.988771,-0.944802,0.0983729,-0.118335,-0.0716795,3,0,1,1
30.1954,0.65688,0.331759,0.466755,0.319848,0.312553,0.481276,-0.986813,-0.923693,-0.00124114,0.04884,0.0933555,3,0,1,1
30.4633,0.656318,0.330209,0.474272,0.318294,0.310737,0.474865,-0.984119,-0.967924,-0.272908,-0.037369,-0.0394191,3,0,1,1
30.754,0.658373,0.326361,0.467526,0.315255,0.311643,0.490554,-0.991716,-0.762629,0.215823,-0.271634,0.66627,3,0,1,1
31.0506,0.65806,0.32444,0.460492,0.31582,0.307408,0.49266,-0.994243,-0.828177,0.296559,-0.470198,0.722472,3,0,1,1
31.3474,0.657501,0.329271,0.474611,0.315133,0.301824,0.480403,-0.991331,-0.974952,-0.392027,0.886836,-0.518614,3,0,1,1
31.7442,0.662812,0.326988,0.46802,0.320549,0.301299,0.478944,-0.992785,-0.984909,-0.258046,0.630691,-0.663838,3,0,1,1
32.0459,0.661047,0.326326,0.474743,0.320227,0.300835,0.487031,-0.992878,-0.947541,-0.163335,0.826642,-0.328651,3,0,1,1
32.3718,0.655397,0.320367,0.468025,0.312136,0.30281,0.496107,-0.995794,-0.801128,0.157137,0.384891,0.830373,3,0,1,1
32.6349,0.654514,0.31693,0.468613,0.309458,0.304249,0.503674,-0.99621,-0.626291,0.374192,-0.00299065,0.948283,3,0,1,1
32.8995,0.653955,0.31545,0.476211,0.310565,0.303366,0.503565,-0.995578,-0.599698,0.399421,0.383129,0.97054,3,0,1,1
33.1968,0.65958,0.321334,0.482415,0.317441,0.304665,0.508369,-0.993581,-0.234757,0.638841,0.856319,0.953375,3,0,1,1
33.4963,0.666052,0.324361,0.482137,0.321434,0.302199,0.501313,-0.99462,-0.639284,0.320713,0.890746,0.394626,3,0,1,1
33.7894,0.672515,0.327395,0.481933,0.329577,0.302485,0.506632,-0.98387,-0.148287,0.738812,0.113776,-0.70055,3,0,1,1
34.0836,0.675439,0.333376,0.481681,0.331597,0.29786,0.500717,-0.982245,-0.565728,0.2528,0.844157,-0.997683,3,0,1,1
34.3842,0.673638,0.332767,0.488754,0.334744,0.299127,0.499521,-0.976696,-0.677395,0.319467,0.733729,-0.999682,3,0,1,1
34.6818,0.670978,0.328698,0.495871,0.332344,0.301041,0.499127,-0.973802,-0.50563,0.389861,0.873281,-0.99963,3,0,1,1
34.9792,0.668671,0.324338,0.489246,0.326566,0.304145,0.475411,-0.907628,-0.993428,-0.678667,0.892653,-0.990027,3,0,1,1
35.2799,0.661058,0.322315,0.489602,0.324024,0.307682,0.498071,-0.989082,-0.662162,0.316406,0.625135,0.764388,3,0,1,1
35.5381,0.65459,0.319244,0.489572,0.318476,0.308323,0.498808,-0.990434,-0.586766,0.302667,0.313398,0.93753,3,0,1,1
35.7358,0.653388,0.313916,0.483323,0.316071,0.310241,0.498402,-0.989709,-0.5588,0.570125,-0.796066,0.986532,3,0,1,1
36.0346,0.655773,0.318309,0.489843,0.320006,0.310119,0.505041,-0.98774,-0.216562,0.653554,0.0551064,0.992995,3,0,1,1
36.3658,0.65931,0.321752,0.496673,0.327758,0.307709,0.5041,-0.981439,-0.341551,0.366895,0.761964,0.935551,3,0,1,1
36.6621,0.663388,0.326613,0.495807,0.335921,0.305782,0.4953,-0.968921,-0.886486,0.088263,0.763851,-0.989686,3,0,1,1
36.9299,0.667479,0.33161,0.495736,0.341148,0.302409,0.488119,-0.874264,-0.988976,-0.419918,0.612657,-0.999789,3,0,1,1
37.2198,0.668378,0.328736,0.488802,0.342862,0.301845,0.48056,-0.935426,-0.996848,-0.468384,0.667375,-0.999562,3,0,1,1
37.519,0.663699,0.326293,0.481906,0.334598,0.303816,0.489519,-0.986049,-0.943757,0.164968,0.164277,-0.555441,3,0,1,1
37.7839,0.657517,0.318859,0.482699,0.329401,0.307175,0.496675,-0.988064,-0.739159,0.62231,-0.6577,0.970704,3,0,1,1
38.0803,0.652531,0.316782,0.489884,0.325136,0.306789,0.497934,-0.986894,-0.732497,0.30208,-0.28634,0.975018,3,0,1,1
38.3793,0.654875,0.31486,0.490115,0.331107,0.3118,0.508674,-0.988987,0.12274,0.914927,-0.447086,0.999779,3,0,1,1
