t,bead0x,bead0y,bead0z,bead1x,bead1y,bead1z,omega0,omega1,omega2,omega3,omega4,policy,input0,input1,rot
22.3228,0.296647,0.307679,0.498335,0.301434,0.718381,0.52452,-0.322504,-0.987921,0.0126646,0.252631,0.922396,3,0,1,0
22.621,0.295135,0.308207,0.505695,0.307605,0.722127,0.512085,-0.271033,-0.992791,0.300377,-0.459672,0.999769,3,0,1,0
22.9148,0.296438,0.307819,0.497557,0.309382,0.718734,0.506122,-0.426325,-0.973495,-0.0986333,-0.681574,0.998103,3,0,1,0
23.213,0.304188,0.305388,0.496516,0.304447,0.717122,0.49849,-0.19306,-0.997278,-0.029133,-0.952357,0.90915,3,0,1,0
23.5118,0.308418,0.303383,0.481315,0.300279,0.712011,0.498505,-0.202834,-0.990013,-0.628449,-0.967041,0.00565493,3,0,1,0
23.8082,0.310849,0.301449,0.481734,0.290841,0.709914,0.490192,0.113769,-0.997938,-0.922012,-0.99725,-0.364022,3,0,1,0
24.0699,0.314838,0.301357,0.488489,0.289165,0.706613,0.503821,-0.03688,-0.996695,-0.420369,-0.987132,-0.861612,3,0,1,0
24.3689,0.308156,0.302909,0.489411,0.285618,0.709718,0.502823,-0.0586583,-0.998251,-0.680146,-0.996903,-0.633423,3,0,1,0
24.6637,0.305735,0.304835,0.488994,0.286406,0.713,0.502854,-0.167387,-0.998435,-0.676866,-0.99756,-0.122992,3,0,1,0
24.9613,0.300873,0.308057,0.496995,0.287279,0.716552,0.502516,-0.291096,-0.999119,-0.206937,-0.996088,0.962014,3,0,1,0
25.2593,0.295333,0.308705,0.497703,0.286712,0.718847,0.508893,-0.402328,-0.998085,-0.0992746,-0.987155,0.993988,3,0,1,0
25.5559,0.300441,0.307698,0.504193,0.289454,0.71596,0.522886,-0.313656,-0.996085,0.525963,-0.655549,0.929429,3,0,1,0
25.8603,0.303904,0.302537,0.490766,0.286791,0.712102,0.516445,-0.262588,-0.996171,-0.246341,-0.963709,0.146414,3,0,1,0
26.1494,0.311969,0.30055,0.481604,0.286296,0.711181,0.50931,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
26.4315,0.314986,0.299527,0.465647,0.28657,0.706525,0.510067,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
26.9133,0.318373,0.29894,0.441067,0.28822,0.709816,0.496526,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
27.3041,0.320607,0.301778,0.430877,0.289015,0.709562,0.483148,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
27.5984,0.320607,0.301778,0.430877,0.288943,0.709279,0.483618,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
27.8983,0.322289,0.301198,0.422993,0.287384,0.711322,0.469011,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
28.1957,0.323792,0.300727,0.414212,0.288565,0.710174,0.469513,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
28.4929,0.322871,0.299727,0.389799,0.288565,0.710174,0.469513,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
28.7904,0.321241,0.297759,0.382689,0.287725,0.711709,0.441192,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
29.0546,0.323216,0.300201,0.380949,0.287725,0.711709,0.441192,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
29.3551,0.323564,0.300679,0.372029,0.289983,0.707517,0.449019,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
29.6473,0.321809,0.296169,0.348126,0.288546,0.711461,0.427001,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
29.9448,0.32347,0.298184,0.355514,0.286649,0.711107,0.419463,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
30.2439,0.325228,0.297556,0.347037,0.28938,0.711209,0.412595,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
30.5379,0.32392,0.295988,0.330299,0.288278,0.705304,0.42057,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
30.8381,0.325347,0.294891,0.331072,0.285549,0.710493,0.397227,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
31.1319,0.324277,0.296451,0.320939,0.284866,0.708919,0.39011,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
31.3934,0.323821,0.293379,0.31303,0.286375,0.710231,0.382359,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
31.6956,0.324179,0.293831,0.303503,0.283584,0.706353,0.374392,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
31.99,0.324541,0.294286,0.293896,0.285047,0.707359,0.367148,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
32.2878,0.324541,0.294286,0.293896,0.286369,0.706439,0.367165,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
32.5873,0.323181,0.292632,0.276228,0.284156,0.703524,0.36774,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
32.9803,0.323541,0.293085,0.266373,0.28238,0.705358,0.351763,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
33.2772,0.324813,0.292052,0.266164,0.281906,0.706299,0.335455,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
33.5744,0.324909,0.289195,0.248721,0.281009,0.702398,0.336103,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
33.8372,0.325282,0.289634,0.238611,0.282734,0.705996,0.319597,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
34.138,0.325282,0.289634,0.238611,0.281833,0.702063,0.320266,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
34.4328,0.323883,0.287878,0.219957,0.282028,0.704336,0.311949,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
34.7293,0.323883,0.287878,0.219957,0.279295,0.702585,0.294859,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
35.0273,0.324253,0.288314,0.209577,0.279665,0.707217,0.277693,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
35.3243,0.325561,0.287242,0.209306,0.278573,0.700889,0.287039,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
35.6205,0.324139,0.28543,0.190102,0.28031,0.704569,0.269635,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
35.8217,0.322455,0.286085,0.200959,0.28031,0.704569,0.269635,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
